Year,EAV Code,Waste Description,Number Of Companies,Amount Of Waste Generated (1000t)
2014,EAV-19120103-U,Mechanical Waste Treatment: Better Grades (Group III),11.0,2.8
2014,EAV-19120104-U,Mech.waste treatment: Powerful varieties (Gr.IV),4.0,1.6
2014,EAV-19120105-U,Mechanical waste treatment: special types (Group V),7.0,0.2
2014,EAV-191202-U,Mechanical waste treatment: ferrous metals,215.0,90.4
2014,EAV-191203-U,Mechanical waste treatment: non-ferrous metals,97.0,9.0
2014,EAV-191204-U,Mechanical waste treatment: plastic and rubber,232.0,62.9
2014,EAV-19120500-U,Mechanical waste treatment: Glass cannot be differentiated,24.0,0.8
2014,EAV-19120501-U,Mechanical waste treatment: white glass,25.0,5.4
2014,EAV-19120502-U,Mechanical waste treatment: amber glass,13.0,2.2
2014,EAV-19120503-U,Mechanical waste treatment: green glass,13.0,1.4
2014,EAV-19120504-U,Mechanical waste treatment: stained glass,8.0,0.7
2014,EAV-19120505-U,Mechanical waste treatment: mixed glass,24.0,6.8
2014,EAV-191206-G,Mechanical waste treatment: wood with hazardous fabrics,9.0,3.4
2014,EAV-191207-U,Wood (without 191206),59.0,5.9
2014,EAV-191208-U,Mechanical waste treatment: textiles,12.0,2.4
2014,EAV-19120900-U,"Mechanical waste treatment: minerals (sand, stones)",45.0,30.8
2014,EAV-19120901-U,Products for use in road and road building,,
2014,EAV-19120902-U,Products for use in other earthworks,3.0,0.2
2014,EAV-19120903-U,products f.d. Use in concrete mixing plants,,
2014,EAV-19120904-U,products for use in asphalt mixing plants,,
2014,EAV-19120905-U,products for other uses,,
2014,EAV-19120906-U,Hot mix for road and path construction,,
2014,EAV-191210-U,Combustible waste (fuel from waste),24.0,22.1
2014,EAV-191211-G,Other waste (including mixed materials),17.0,1.1
2014,EAV-191212-U,Other waste (excluding 191211),125.0,138.9
2014,EAV-191301-G,Solid waste from soil remediation,3.0,0.0
2014,EAV-191302-U,Solid waste from soil remediation (oh.191301),,
2014,EAV-191303-G,Sludges from soil remediation,,
2014,EAV-191304-U,Sludge from soil remediation (oh.191303),,
2014,EAV-191305-G,Sludge from groundwater remediation,7.0,0.1
2014,EAV-191306-U,Sludge from groundwater remediation (oh.191305),4.0,2.2
2014,EAV-191307-G,Aqueous waste and concentrates from groundwater remediation.,,
2014,EAV-191308-U,Aqueous waste and conc. a. groundwater sanitation (oh.191307),,
2014,EAV-20,Municipal waste (household waste and similar waste),,
2014,EAV-200101-U,paper and cardboard,9373.0,1332.1
2014,EAV-200102-U,Glas,1179.0,124.8
2014,EAV-200108-U,Biodegradable kitchen and canteen waste,3419.0,215.6
2014,EAV-200110-U,clothing,26.0,0.5
2014,EAV-200111-U,textiles,70.0,3.0
2014,EAV-200113-G,solvent,293.0,0.7
2014,EAV-200114-G,acids,215.0,0.4
2014,EAV-200115-G,Lye,197.0,1.2
2014,EAV-200117-G,Photochemical,58.0,0.5
2014,EAV-200119-G,pesticides,41.0,0.0
2014,EAV-200121-G,Fluorescent tubes and other waste containing mercury,5583.0,11.0
2014,EAV-200123-G,Used devices with chlorofluorocarbons,639.0,0.9
2014,EAV-200125-U,Cooking oils and fats,629.0,9.7
2014,EAV-200126-G,Oils and fats (without 200125),126.0,0.5
2014,EAV-200127-G,"paints, inks, adhesives and synthetic resins",374.0,0.8
2014,EAV-200128-U,"Paints, printing inks, adhesives, synthetic resins (oh.200127)",77.0,0.3
2014,EAV-200129-G,Detergents containing dangerous substances,83.0,0.1
2014,EAV-200130-U,Cleaning agent (without 200129),39.0,0.3
2014,EAV-200131-G,Cytotoxic and cytostatic drugs,,
2014,EAV-200132-U,Medicines (without 200131),93.0,5.7
2014,EAV-200133-G,Batteries and accumulators (160601-160603),1176.0,0.9
2014,EAV-200134-U,Batteries and accumulators (without 200133),270.0,0.2
2014,EAV-200135-G,"Used electrical devices (oh.200121,200123)",3811.0,18.9
2014,EAV-200136-U,"Used electrical devices (oh.200121,200123,200135)",1506.0,10.8
2014,EAV-200137-G,Wood containing dangerous substances,54.0,0.9
2014,EAV-200138-U,Wood (without 200137),1005.0,55.1
2014,EAV-200139-U,plastics,2811.0,142.2
2014,EAV-200140-U,metals,4445.0,607.5
2014,EAV-200141-U,waste from cleaning chimneys,,
2014,EAV-200199-U,Other fractions n.e.c.,,
2014,EAV-20019900-U,Other fractions n.e.c. not differentiable,64.0,1.4
2014,EAV-20019901-U,Mixed recyclables without lightweight packaging,16.0,1.9
2014,EAV-200201-U,Biodegradable waste,4073.0,269.0
2014,EAV-200202-U,soil and stones,60.0,9.7
2014,EAV-200203-U,Other non-biodegradable waste,22.0,1.8
2014,EAV-20030100-U,Mixed municipal waste cannot be differentiated,3078.0,279.1
2014,EAV-20030101-U,"Household waste, commercial waste similar to household waste",3421.0,252.3
2014,EAV-20030102-U,Commercial waste similar to domestic waste,11051.0,1026.6
2014,EAV-20030104-U,Waste from the organic waste bin,469.0,20.3
2014,EAV-200302-U,Market waste,30.0,3.8
2014,EAV-200303-U,street sweepings,482.0,33.9
2014,EAV-200304-U,Faecal sludge,259.0,45.5
2014,EAV-200306-U,Waste from sewer cleaning,172.0,15.9
2014,EAV-200307-U,Bulky waste,1863.0,50.2
2014,EAV-200399-U,Municipal waste n.e.c.,116.0,14.6
2014,EAV-99,Hazardous waste,,
2014,EAV-990000-G,Total hazardous waste,,
2014,,In total,19877.0,67871.3
2018,EAV-01,Waste from the extraction of mineral resources,,
2018,EAV-010101-U,Waste from mining v. metal-containing mineral resources,6.0,2.3
2018,EAV-010102-U,Waste from mining v. non-metal Mineral resources,3.0,0.1
2018,EAV-010304-G,Acid-forming processing residues a. sul. ore,,
2018,EAV-010305-G,Other processing residues with hazardous substances,,
2018,EAV-010306-U,Processing residues (without 010304 and 010305),,
2018,EAV-010307-G,waste from processing metal-bearing mineral resources,,
2018,EAV-010308-U,Dusty and powdery waste (without 010307),5.0,0.1
2018,EAV-010309-U,Alumina Red Mud Manufacturing(oh.010310),,
2018,EAV-010399-U,processing from metallh. Natural resources: waste n.e.c.,,
2018,EAV-010407-G,Waste from further processing non-metal Mineral resources,,
2018,EAV-010408-U,Gravel and rock quarry waste (without 010407),10.0,28.1
2018,EAV-010409-U,sand and clay waste,11.0,5.8
2018,EAV-010410-U,Dusty and powdery waste (without 010407),16.0,6.1
2018,EAV-010411-U,waste from processing v.potash and rock salt (oh.010407),7.0,10.7
2018,EAV-010412-U,"reprocessing including waste (oh.010407,010411)",,
2018,EAV-010413-U,Waste from stonemasonry and sawing work (excluding 010407),13.0,40.8
2018,EAV-010499-U,processing v. non-metal Soil waste: waste n.e.c.,4.0,0.4
2018,EAV-010504-U,Muds and waste from freshwater wells,4.0,0.6
2018,EAV-010505-G,Oily drilling muds and wastes,6.0,0.4
2018,EAV-010506-G,Drilling muds and other drilling waste with hazardous fabrics,,
2018,EAV-010507-U,"Barite-bearing drillings, waste (oh.010505,010506)",,
2018,EAV-010508-U,"chloride content. Drilling cuttings, waste (oh.010505,010506)",,
2018,EAV-010599-U,drilling mud and. other construction waste: waste not otherwise specified,,
2018,EAV-02,"Waste from agriculture, forestry, etc.",,
2018,EAV-020101-U,"Agriculture, among other things: sludge from washing and cleaning processes.",15.0,19.4
2018,EAV-020102-U,Agriculture i.a.: Waste from animal tissue,80.0,159.5
2018,EAV-020103-U,"Agriculture, among other things: waste from plant tissue",116.0,273.1
2018,EAV-020104-U,"Agricultural, etc.: plastic waste (without packaging)",109.0,5.3
2018,EAV-020106-U,"Animal excretions, liquid manure/manure/stable manure",63.0,283.5
2018,EAV-020107-U,Forestry waste,15.0,2.6
2018,EAV-020108-G,Agricultural chemical waste,41.0,0.4
2018,EAV-020109-U,Waste v. Chemistry. f.d. Agriculture(oh.020108),4.0,0.3
2018,EAV-020110-U,Agriculture e.g.: metal waste,77.0,5.7
2018,EAV-020199-U,Agriculture and others: waste not otherwise specified,19.0,3.6
2018,EAV-020201-U,Meat and others: sludges from washing and cleaning processes,35.0,29.3
2018,EAV-020202-U,"Meat, among other things: waste from animal tissue",206.0,488.3
2018,EAV-020203-U,Meat and others: For consumption/processing. unsuitable substances,249.0,177.9
2018,EAV-020204-U,Meat and others: sludge (company waste water tank),1852.0,494.8
2018,EAV-020299-U,"processing of meat, fish, etc.: waste not otherwise specified",31.0,57.0
2018,EAV-020301-U,"Fruit and others: sludge from washing, cleaning proc. i.a.",59.0,143.9
2018,EAV-020302-U,Fruit and others: waste from preservatives,,
2018,EAV-020303-U,Fruit and others: Waste from extraction with solvents,4.0,1.0
2018,EAV-020304-U,Fruit and others: For consumption/processing. unsuitable substances,421.0,452.0
2018,EAV-020305-U,Fruit and others: sludge (in-house waste water treatment),64.0,117.4
2018,EAV-020399-U,"Processing of fruit, vegetables, etc.: waste not otherwise specified",36.0,42.2
2018,EAV-020401-U,Sugar production: beet soil,15.0,1491.8
2018,EAV-020402-U,Sugar manufacturer: Not specific. Calcium carbonate sludge,,
2018,EAV-020403-U,Sugar production: sludge (in-house waste water tank),,
2018,EAV-020499-U,Sugar production: waste n.e.c.,8.0,45.7
2018,EAV-020501-U,Milk processing: For consumption/processing. unsuitable,92.0,157.2
2018,EAV-020502-U,Milk processing: sludge (in-house waste water treatment),43.0,161.4
2018,EAV-020599-U,Milk processing: waste n.e.c.,6.0,20.0
2018,EAV-020601-U,Bakery and confectionery: For consumption/processing. unsuitable St.,344.0,214.1
2018,EAV-020602-U,"Baked goods, confectionery: waste from preservatives",,
2018,EAV-020603-U,"Baked goods, confectionery: sludge (own waste water treatment)",72.0,29.2
2018,EAV-020699-U,Manufacture of bakery and confectionery products: waste n.e.c.,24.0,30.9
2018,EAV-020701-U,"Beverages: Waste from laundry, cleaning, etc.",26.0,147.9
2018,EAV-020702-U,Beverages: Waste from alcohol distillation,6.0,300.8
2018,EAV-020703-U,Beverages: Waste from chemical treatment,,
2018,EAV-020704-U,Beverages: For consumption/processing. unsuitable substances,65.0,412.1
2018,EAV-020705-U,Beverages: sludge (in-house waste water treatment),29.0,19.7
2018,EAV-020799-U,Manufacture of beverages: waste n.e.c.,25.0,171.2
2018,EAV-03,"Waste from wood processing, etc.",,
2018,EAV-030101-U,Woodworking including: bark and cork waste,26.0,497.8
2018,EAV-030104-G,"Sawdust, shavings, cuttings, wood, chipboard",34.0,5.3
2018,EAV-030105-U,"Sawdust, chips, cuttings, wood, chipboard. (oh.030104)",702.0,2985.1
2018,EAV-030199-U,"Wood processing, etc.: waste not otherwise specified",22.0,3.7
2018,EAV-030201-G,Halogen-free organic wood preservatives,3.0,0.0
2018,EAV-030202-G,Organochlorine wood preservatives,,
2018,EAV-030203-G,Organometallic wood preservatives,,
2018,EAV-030204-G,Inorganic wood preservatives,,
2018,EAV-030205-G,Other wood preservatives with dangerous substances,,
2018,EAV-030299-U,wood preservatives n.e.s.,3.0,0.0
2018,EAV-030301-U,Paper production includes: bark and wood waste,26.0,192.8
2018,EAV-030302-U,Sulphite sludge (from reclamation of cooking liquor),,
2018,EAV-030305-U,Deinking sludge from paper recycling,12.0,582.9
2018,EAV-030307-U,Mechanically separated waste (paper waste),79.0,786.2
2018,EAV-030308-U,Waste from sorting v. Paper for recycling,170.0,385.0
2018,EAV-030309-U,Lime sludge waste,3.0,1.9
2018,EAV-030310-U,"Fiber waste, fiber, filler and coating sludge",122.0,1627.5
2018,EAV-030311-U,Sludge a. operational waste water treatment (oh.030310),42.0,150.1
2018,EAV-030399-U,"Paper production, among others: waste not otherwise specified",25.0,697.6
2018,EAV-04,"Waste from the leather, fur and textile industries",,
2018,EAV-040101-U,Flesh scrapings and skin scraps,3.0,0.0
2018,EAV-040102-U,Cremated glued leather,5.0,18.2
2018,EAV-040103-G,"Degreasing waste, solvent-free, non-liquid phase",,
2018,EAV-040104-U,Tanning liquor containing chromium,,
2018,EAV-040105-U,Chromium-free tannery broth,,
2018,EAV-040106-U,Slurries containing chromium,9.0,19.0
2018,EAV-040107-U,Chromium-free sludges,,
2018,EAV-040108-U,Chrome waste from tanned leather,17.0,4.2
2018,EAV-040109-U,Waste from preparation and finishing,8.0,0.2
2018,EAV-040199-U,Leather and fur industry: waste n.e.c.,7.0,1.2
2018,EAV-040209-U,"Waste from composite materials (elastomer, etc.)",69.0,24.8
2018,EAV-040210-U,Organic substances from natural materials (e.g. fats),9.0,0.7
2018,EAV-040214-G,Waste from the finish with organ. solvent,3.0,0.0
2018,EAV-040215-U,Waste from the finish (without 040214),11.0,0.8
2018,EAV-040216-G,Dyes and pigments containing dangerous substances,5.0,0.2
2018,EAV-040217-U,Dyes and pigments (without 040216),6.0,0.3
2018,EAV-040219-G,Textile industry: sludge (own waste water treatment),,
2018,EAV-040220-U,Sludge from company-owned Waste water tank (oh.040219),19.0,3.1
2018,EAV-040221-U,Waste from untreated textile fibers,35.0,4.1
2018,EAV-040222-U,Waste from processed textile fibres,224.0,38.1
2018,EAV-040299-U,Textile industry: waste n.e.c.,16.0,0.9
2018,EAV-05,"Waste from petroleum refining, natural gas purification",,
2018,EAV-050102-G,Petroleum refining: desalination sludges,,
2018,EAV-050103-G,Petroleum refining: bottom sludge from tanks,35.0,22.1
2018,EAV-050104-G,Petroleum refining: Acid alkyl sludges,,
2018,EAV-050105-G,Petroleum Refining: Oil Spills,,
2018,EAV-050106-G,Petroleum refining: oil holding.sludges a.operation process.,29.0,9.6
2018,EAV-050107-G,Petroleum refining: acid tars,,
2018,EAV-050108-G,Petroleum refining: Other teas,,
2018,EAV-050109-G,Petroleum refining: sludge (company wastewater tank),5.0,2.6
2018,EAV-050110-U,Sludge a. operationally appropriate Waste water tank (oh.050109),5.0,6.7
2018,EAV-050111-G,Petroleum refinery: Removal from pure fuel. with bases,,
2018,EAV-050112-G,Petroleum Refining: Acidic Oils,,
2018,EAV-050113-U,Petroleum refining: sludges from boiler feed water treatment.,,
2018,EAV-050114-U,Petroleum refining: Waste from cooling towers,,
2018,EAV-050115-G,Petroleum Refining: Used filter clays,5.0,0.6
2018,EAV-050116-U,Petroleum Ref.:Sulphur. Waste from oil desulfurization,5.0,0.2
2018,EAV-050117-U,Petroleum refining: bitumen,7.0,0.1
2018,EAV-050199-U,Petroleum refining: wastes n.e.c.,,
2018,EAV-050601-G,Coal pyrolysis: acid tars,,
2018,EAV-050603-G,Kohlepyrolyse: Andere Teere,32.0,17.5
2018,EAV-050604-U,Coal pyrolysis: waste from cooling columns,,
2018,EAV-050699-U,Coal pyrolysis: wastes n.e.c.,,
2018,EAV-050701-G,"Natural gas cleaning, transport: mercury h. waste",,
2018,EAV-050702-U,"Natural gas cleaning, transport:Sulphurous waste",5.0,0.5
2018,EAV-050799-U,"Natural gas purification, transport: waste n.e.c.",,
2018,EAV-06,Waste from inorganic chemical processes,,
2018,EAV-060101-G,sulfuric acid and sulphurous acid,177.0,166.7
2018,EAV-060102-G,hydrochloric acid,50.0,6.7
2018,EAV-060103-G,Hydrofluoric acid,10.0,0.3
2018,EAV-060104-G,Phosphoric acid and phosphorous acid,31.0,1.5
2018,EAV-060105-G,Nitric acid and nitrous acid,32.0,0.8
2018,EAV-060106-G,Other acids,742.0,11.8
2018,EAV-060199-U,Acids: wastes n.e.c.,7.0,0.1
2018,EAV-060201-G,Calciumhydroxid,9.0,0.9
2018,EAV-060203-G,Ammoniumhydroxid,34.0,6.6
2018,EAV-060204-G,Sodium and potassium hydroxide,50.0,3.7
2018,EAV-060205-G,Other Bases,631.0,11.4
2018,EAV-060299-U,Bases: wastes n.e.c.,,
2018,EAV-060311-G,Solid salts and solutions containing cyanide,18.0,0.3
2018,EAV-060313-G,Solid salts and solutions containing heavy metals,97.0,14.2
2018,EAV-060314-U,Solid salts and solutions (without 060311 and 060313),184.0,115.4
2018,EAV-060315-G,Metal oxides containing heavy metals,26.0,3.1
2018,EAV-060316-U,Metal oxides (without 060315),47.0,38.3
2018,EAV-060399-U,"Salts, saline solutions, metal oxides: wastes not otherwise specified",7.0,0.2
2018,EAV-060403-G,Waste containing arsenic,8.0,0.4
2018,EAV-060404-G,Waste containing mercury,450.0,1.6
2018,EAV-060405-G,Waste containing other heavy metals,55.0,43.3
2018,EAV-060499-U,Waste containing metal n.e.c.,3.0,0.4
2018,EAV-060502-G,Sludge from on-site wastewater treatment,71.0,43.6
2018,EAV-060503-U,sludge from on-site Waste water tank (oh.060502),104.0,90.8
2018,EAV-060602-G,Waste containing dangerous sulfides,5.0,2.0
2018,EAV-060603-U,Waste containing sulfide (without 060602),,
2018,EAV-060699-U,Sulphur-containing chemicals: wastes n.e.s.,,
2018,EAV-060701-G,Asbestos-containing waste from electrolysis,,
2018,EAV-060702-G,Activated carbon from chlorine production,,
2018,EAV-060703-G,Mercurial barium sulfate sludges,,
2018,EAV-060704-G,"Solutions and acids, e.g. contact acid",,
2018,EAV-060799-U,Halogens: wastes n.e.c.,3.0,1.8
2018,EAV-060802-G,Hazardous waste containing chlorosilanes,4.0,10.8
2018,EAV-060899-U,"Silicon, silicon compounds: wastes not otherwise specified",14.0,16.5
2018,EAV-060902-U,Phosphorous slag,,
2018,EAV-060903-G,Calcium-based reaction wastes,,
2018,EAV-060904-U,Calcium-based reaction waste (without 060903),,
2018,EAV-060999-U,Chemicals containing phosphorus: wastes not otherwise specified,,
2018,EAV-061002-G,Nitrogen.Chemistry.: Waste with hazardous fabrics,6.0,0.3
2018,EAV-061099-U,Nitrogenous chemicals: wastes n.e.c.,4.0,0.1
2018,EAV-061101-U,Calcium-based reaction wastes a. titanium dioxide,,
2018,EAV-061199-U,"Inorganic pigments, colourants: waste not otherwise specified",4.0,0.1
2018,EAV-061301-G,"Inorganic pesticides, wood preservatives",12.0,0.1
2018,EAV-061302-G,Used activated carbon (without 060702),103.0,2.4
2018,EAV-061303-U,carbon black,31.0,2.8
2018,EAV-061304-G,Waste from asbestos processing,,
2018,EAV-061305-G,Oven and chimney soot,,
2018,EAV-061399-U,Inorganic chemical processes: wastes not otherwise specified,14.0,0.1
2018,EAV-07,Waste from organic chemical processes,,
2018,EAV-070101-G,"Organic basic chemistry: aqueous washing liquid, mother liquors",234.0,37.2
2018,EAV-070103-G,"Organic basic chemistry: halogen organic solvents, washing fl.",204.0,46.7
2018,EAV-070104-G,"Org.Basic chemistry: solvents, washing liquids",879.0,146.4
2018,EAV-070107-G,"Org.Basic chem.: Halogen.Reaction-, Distill.reset.",28.0,44.8
2018,EAV-070108-G,Org.Basic chemistry: reaction and distillation residues.,137.0,129.7
2018,EAV-070109-G,"Org.Basic chemistry: Halog.filter cake, absorbent mat.",12.0,0.4
2018,EAV-070110-G,"Org.Grundchemik.: And. Filter cake, absorbent mat.",34.0,2.3
2018,EAV-070111-G,Org. basic chemistry: sludge (company waste water tank),29.0,7.0
2018,EAV-070112-U,sludge from on-site Waste water tank (oh.070111),14.0,0.7
2018,EAV-070199-U,Bulk organic chemicals: wastes not otherwise specified,23.0,8.3
2018,EAV-070201-G,"Plastics: Aqueous detergents, mother liquors",55.0,30.0
2018,EAV-070203-G,"Plastics: halogen organic solvents, washing liquid.",31.0,3.0
2018,EAV-070204-G,"Plastics: organic. Solvents, washing liquids",127.0,35.1
